id,name,set,series,generation,publisher,release_date,release_year,artist,supertype,rarity,primary_type,types_display,hp,retreat_cost,set_number
base1-16,Zapdos,Base,Base,First,WOTC,1999-01-09,1999,Ken Sugimori,Pokémon,Holo Rare,Lightning,Lightning,90.0,3.0,16/102
base1-17,Beedrill,Base,Base,First,WOTC,1999-01-09,1999,Ken Sugimori,Pokémon,Rare,Grass,Grass,80.0,,17/102
base1-18,Dragonair,Base,Base,First,WOTC,1999-01-09,1999,Mitsuhiro Arita,Pokémon,Rare,Colorless,Colorless,80.0,2.0,18/102
base1-19,Dugtrio,Base,Base,First,WOTC,1999-01-09,1999,Keiji Kinebuchi,Pokémon,Rare,Fighting,Fighting,70.0,2.0,19/102
base1-20,Electabuzz,Base,Base,First,WOTC,1999-01-09,1999,Ken Sugimori,Pokémon,Rare,Lightning,Lightning,70.0,2.0,20/102
base1-21,Electrode,Base,Base,First,WOTC,1999-01-09,1999,Keiji Kinebuchi,Pokémon,Rare,Lightning,Lightning,80.0,1.0,21/102
base1-22,Pidgeotto,Base,Base,First,WOTC,1999-01-09,1999,Ken Sugimori,Pokémon,Rare,Colorless,Colorless,60.0,1.0,22/102
base1-23,Arcanine,Base,Base,First,WOTC,1999-01-09,1999,Ken Sugimori,Pokémon,Uncommon,Fire,Fire,100.0,3.0,23/102
base1-24,Charmeleon,Base,Base,First,WOTC,1999-01-09,1999,Mitsuhiro Arita,Pokémon,Uncommon,Fire,Fire,80.0,1.0,24/102
base1-25,Dewgong,Base,Base,First,WOTC,1999-01-09,1999,Mitsuhiro Arita,Pokémon,Uncommon,Water,Water,80.0,3.0,25/102
base1-26,Dratini,Base,Base,First,WOTC,1999-01-09,1999,Ken Sugimori,Pokémon,Uncommon,Colorless,Colorless,40.0,1.0,26/102
base1-27,Farfetch'd,Base,Base,First,WOTC,1999-01-09,1999,Ken Sugimori,Pokémon,Uncommon,Colorless,Colorless,50.0,1.0,27/102
base1-28,Growlithe,Base,Base,First,WOTC,1999-01-09,1999,Ken Sugimori,Pokémon,Uncommon,Fire,Fire,60.0,1.0,28/102
base1-29,Haunter,Base,Base,First,WOTC,1999-01-09,1999,Keiji Kinebuchi,Pokémon,Uncommon,Psychic,Psychic,60.0,1.0,29/102
base1-30,Ivysaur,Base,Base,First,WOTC,1999-01-09,1999,Ken Sugimori,Pokémon,Uncommon,Grass,Grass,60.0,1.0,30/102
base1-31,Jynx,Base,Base,First,WOTC,1999-01-09,1999,Ken Sugimori,Pokémon,Uncommon,Psychic,Psychic,70.0,2.0,31/102
base1-32,Kadabra,Base,Base,First,WOTC,1999-01-09,1999,Ken Sugimori,Pokémon,Uncommon,Psychic,Psychic,60.0,3.0,32/102
base1-33,Kakuna,Base,Base,First,WOTC,1999-01-09,1999,Keiji Kinebuchi,Pokémon,Uncommon,Grass,Grass,80.0,2.0,33/102
base1-34,Machoke,Base,Base,First,WOTC,1999-01-09,1999,Ken Sugimori,Pokémon,Uncommon,Fighting,Fighting,80.0,3.0,34/102
base1-35,Magikarp,Base,Base,First,WOTC,1999-01-09,1999,Mitsuhiro Arita,Pokémon,Uncommon,Water,Water,30.0,1.0,35/102
base1-36,Magmar,Base,Base,First,WOTC,1999-01-09,1999,Ken Sugimori,Pokémon,Uncommon,Fire,Fire,50.0,2.0,36/102
base1-37,Nidorino,Base,Base,First,WOTC,1999-01-09,1999,Mitsuhiro Arita,Pokémon,Uncommon,Grass,Grass,60.0,1.0,37/102
base1-38,Poliwhirl,Base,Base,First,WOTC,1999-01-09,1999,Ken Sugimori,Pokémon,Uncommon,Water,Water,60.0,1.0,38/102
base1-39,Porygon,Base,Base,First,WOTC,1999-01-09,1999,Tomoaki Imakuni,Pokémon,Uncommon,Colorless,Colorless,30.0,1.0,39/102
base1-40,Raticate,Base,Base,First,WOTC,1999-01-09,1999,Ken Sugimori,Pokémon,Uncommon,Colorless,Colorless,60.0,1.0,40/102
base1-41,Seel,Base,Base,First,WOTC,1999-01-09,1999,Ken Sugimori,Pokémon,Uncommon,Water,Water,60.0,1.0,41/102
base1-42,Wartortle,Base,Base,First,WOTC,1999-01-09,1999,Ken Sugimori,Pokémon,Uncommon,Water,Water,70.0,1.0,42/102
base1-43,Abra,Base,Base,First,WOTC,1999-01-09,1999,Mitsuhiro Arita,Pokémon,Common,Psychic,Psychic,30.0,,43/102
base1-44,Bulbasaur,Base,Base,First,WOTC,1999-01-09,1999,Mitsuhiro Arita,Pokémon,Common,Grass,Grass,40.0,1.0,44/102
base1-45,Caterpie,Base,Base,First,WOTC,1999-01-09,1999,Ken Sugimori,Pokémon,Common,Grass,Grass,40.0,1.0,45/102
base1-46,Charmander,Base,Base,First,WOTC,1999-01-09,1999,Mitsuhiro Arita,Pokémon,Common,Fire,Fire,50.0,1.0,46/102
base1-47,Diglett,Base,Base,First,WOTC,1999-01-09,1999,Keiji Kinebuchi,Pokémon,Common,Fighting,Fighting,30.0,,47/102
base1-48,Doduo,Base,Base,First,WOTC,1999-01-09,1999,Mitsuhiro Arita,Pokémon,Common,Colorless,Colorless,50.0,,48/102
base1-49,Drowzee,Base,Base,First,WOTC,1999-01-09,1999,Ken Sugimori,Pokémon,Common,Psychic,Psychic,50.0,1.0,49/102
base1-50,Gastly,Base,Base,First,WOTC,1999-01-09,1999,Keiji Kinebuchi,Pokémon,Common,Psychic,Psychic,30.0,,50/102
base1-51,Koffing,Base,Base,First,WOTC,1999-01-09,1999,Mitsuhiro Arita,Pokémon,Common,Grass,Grass,50.0,1.0,51/102
base1-52,Machop,Base,Base,First,WOTC,1999-01-09,1999,Mitsuhiro Arita,Pokémon,Common,Fighting,Fighting,50.0,1.0,52/102
base1-53,Magnemite,Base,Base,First,WOTC,1999-01-09,1999,Keiji Kinebuchi,Pokémon,Common,Lightning,Lightning,40.0,1.0,53/102
base1-54,Metapod,Base,Base,First,WOTC,1999-01-09,1999,Ken Sugimori,Pokémon,Common,Grass,Grass,70.0,2.0,54/102
base1-55,Nidoran ♂,Base,Base,First,WOTC,1999-01-09,1999,Ken Sugimori,Pokémon,Common,Grass,Grass,40.0,1.0,55/102
base1-56,Onix,Base,Base,First,WOTC,1999-01-09,1999,Ken Sugimori,Pokémon,Common,Fighting,Fighting,90.0,3.0,56/102
base1-57,Pidgey,Base,Base,First,WOTC,1999-01-09,1999,Ken Sugimori,Pokémon,Common,Colorless,Colorless,40.0,1.0,57/102
base1-58,Pikachu,Base,Base,First,WOTC,1999-01-09,1999,Mitsuhiro Arita,Pokémon,Common,Lightning,Lightning,40.0,1.0,58/102
base1-59,Poliwag,Base,Base,First,WOTC,1999-01-09,1999,Ken Sugimori,Pokémon,Common,Water,Water,40.0,1.0,59/102
base1-60,Ponyta,Base,Base,First,WOTC,1999-01-09,1999,Ken Sugimori,Pokémon,Common,Fire,Fire,40.0,1.0,60/102
base1-61,Rattata,Base,Base,First,WOTC,1999-01-09,1999,Mitsuhiro Arita,Pokémon,Common,Colorless,Colorless,30.0,,61/102
base1-62,Sandshrew,Base,Base,First,WOTC,1999-01-09,1999,Ken Sugimori,Pokémon,Common,Fighting,Fighting,40.0,1.0,62/102
base1-63,Squirtle,Base,Base,First,WOTC,1999-01-09,1999,Mitsuhiro Arita,Pokémon,Common,Water,Water,40.0,1.0,63/102
base1-64,Starmie,Base,Base,First,WOTC,1999-01-09,1999,Keiji Kinebuchi,Pokémon,Common,Water,Water,60.0,1.0,64/102
base1-65,Staryu,Base,Base,First,WOTC,1999-01-09,1999,Keiji Kinebuchi,Pokémon,Common,Water,Water,40.0,1.0,65/102
base1-66,Tangela,Base,Base,First,WOTC,1999-01-09,1999,Mitsuhiro Arita,Pokémon,Common,Grass,Grass,50.0,2.0,66/102
base1-67,Voltorb,Base,Base,First,WOTC,1999-01-09,1999,Keiji Kinebuchi,Pokémon,Common,Lightning,Lightning,40.0,1.0,67/102
base1-68,Vulpix,Base,Base,First,WOTC,1999-01-09,1999,Ken Sugimori,Pokémon,Common,Fire,Fire,50.0,1.0,68/102
base1-69,Weedle,Base,Base,First,WOTC,1999-01-09,1999,Mitsuhiro Arita,Pokémon,Common,Grass,Grass,40.0,1.0,69/102
base1-70,Clefairy Doll,Base,Base,First,WOTC,1999-01-09,1999,Keiji Kinebuchi,Trainer,Rare,,,10.0,,70/102
base1-71,Computer Search,Base,Base,First,WOTC,1999-01-09,1999,Keiji Kinebuchi,Trainer,Rare,,,,,71/102
base1-72,Devolution Spray,Base,Base,First,WOTC,1999-01-09,1999,Keiji Kinebuchi,Trainer,Rare,,,,,72/102
base1-73,Impostor Professor Oak,Base,Base,First,WOTC,1999-01-09,1999,Ken Sugimori,Trainer,Rare,,,,,73/102
base1-74,Item Finder,Base,Base,First,WOTC,1999-01-09,1999,Keiji Kinebuchi,Trainer,Rare,,,,,74/102
base1-75,Lass,Base,Base,First,WOTC,1999-01-09,1999,Ken Sugimori,Trainer,Rare,,,,,75/102
base1-76,Pokémon Breeder,Base,Base,First,WOTC,1999-01-09,1999,Ken Sugimori,Trainer,Rare,,,,,76/102
base1-77,Pokémon Trader,Base,Base,First,WOTC,1999-01-09,1999,Ken Sugimori,Trainer,Rare,,,,,77/102
base1-78,Scoop Up,Base,Base,First,WOTC,1999-01-09,1999,Keiji Kinebuchi,Trainer,Rare,,,,,78/102
base1-79,Super Energy Removal,Base,Base,First,WOTC,1999-01-09,1999,Keiji Kinebuchi,Trainer,Rare,,,,,79/102
base1-80,Defender,Base,Base,First,WOTC,1999-01-09,1999,Keiji Kinebuchi,Trainer,Uncommon,,,,,80/102
base1-81,Energy Retrieval,Base,Base,First,WOTC,1999-01-09,1999,Keiji Kinebuchi,Trainer,Uncommon,,,,,81/102
base1-82,Full Heal,Base,Base,First,WOTC,1999-01-09,1999,Keiji Kinebuchi,Trainer,Uncommon,,,,,82/102
base1-83,Maintenance,Base,Base,First,WOTC,1999-01-09,1999,Keiji Kinebuchi,Trainer,Uncommon,,,,,83/102
base1-84,PlusPower,Base,Base,First,WOTC,1999-01-09,1999,Keiji Kinebuchi,Trainer,Uncommon,,,,,84/102
base1-85,Pokémon Center,Base,Base,First,WOTC,1999-01-09,1999,Keiji Kinebuchi,Trainer,Uncommon,,,,,85/102
base1-86,Pokémon Flute,Base,Base,First,WOTC,1999-01-09,1999,Keiji Kinebuchi,Trainer,Uncommon,,,,,86/102
base1-87,Pokédex,Base,Base,First,WOTC,1999-01-09,1999,Keiji Kinebuchi,Trainer,Uncommon,,,,,87/102
base1-88,Professor Oak,Base,Base,First,WOTC,1999-01-09,1999,Ken Sugimori,Trainer,Uncommon,,,,,88/102
base1-89,Revive,Base,Base,First,WOTC,1999-01-09,1999,Keiji Kinebuchi,Trainer,Uncommon,,,,,89/102
base1-90,Super Potion,Base,Base,First,WOTC,1999-01-09,1999,Keiji Kinebuchi,Trainer,Uncommon,,,,,90/102
base1-91,Bill,Base,Base,First,WOTC,1999-01-09,1999,Ken Sugimori,Trainer,Common,,,,,91/102
base1-92,Energy Removal,Base,Base,First,WOTC,1999-01-09,1999,Keiji Kinebuchi,Trainer,Common,,,,,92/102
base1-93,Gust of Wind,Base,Base,First,WOTC,1999-01-09,1999,Keiji Kinebuchi,Trainer,Common,,,,,93/102
base1-94,Potion,Base,Base,First,WOTC,1999-01-09,1999,Keiji Kinebuchi,Trainer,Common,,,,,94/102
base1-95,Switch,Base,Base,First,WOTC,1999-01-09,1999,Keiji Kinebuchi,Trainer,Common,,,,,95/102
base1-96,Double Colorless Energy,Base,Base,First,WOTC,1999-01-09,1999,Keiji Kinebuchi,Energy,Uncommon,,,,,96/102
base1-97,Fighting Energy,Base,Base,First,WOTC,1999-01-09,1999,Keiji Kinebuchi,Energy,Common,,,,,97/102
base1-98,Fire Energy,Base,Base,First,WOTC,1999-01-09,1999,Keiji Kinebuchi,Energy,Common,,,,,98/102
base1-99,Grass Energy,Base,Base,First,WOTC,1999-01-09,1999,Keiji Kinebuchi,Energy,Common,,,,,99/102
base1-100,Lightning Energy,Base,Base,First,WOTC,1999-01-09,1999,Keiji Kinebuchi,Energy,Common,,,,,100/102
base1-101,Psychic Energy,Base,Base,First,WOTC,1999-01-09,1999,Keiji Kinebuchi,Energy,Common,,,,,101/102
base1-102,Water Energy,Base,Base,First,WOTC,1999-01-09,1999,Keiji Kinebuchi,Energy,Common,,,,,102/102
base2-1,Clefable,Jungle,Base,First,WOTC,1999-06-16,1999,Mitsuhiro Arita,Pokémon,Holo Rare,Colorless,Colorless,70.0,2.0,1/64
base2-2,Electrode,Jungle,Base,First,WOTC,1999-06-16,1999,Mitsuhiro Arita,Pokémon,Holo Rare,Lightning,Lightning,90.0,1.0,2/64
base2-3,Flareon,Jungle,Base,First,WOTC,1999-06-16,1999,Kagemaru Himeno,Pokémon,Holo Rare,Fire,Fire,70.0,1.0,3/64
base2-4,Jolteon,Jungle,Base,First,WOTC,1999-06-16,1999,Kagemaru Himeno,Pokémon,Holo Rare,Lightning,Lightning,70.0,1.0,4/64
base2-5,Kangaskhan,Jungle,Base,First,WOTC,1999-06-16,1999,Mitsuhiro Arita,Pokémon,Holo Rare,Colorless,Colorless,90.0,3.0,5/64
base2-6,Mr. Mime,Jungle,Base,First,WOTC,1999-06-16,1999,Ken Sugimori,Pokémon,Holo Rare,Psychic,Psychic,40.0,1.0,6/64
base2-7,Nidoqueen,Jungle,Base,First,WOTC,1999-06-16,1999,Ken Sugimori,Pokémon,Holo Rare,Grass,Grass,90.0,3.0,7/64
base2-8,Pidgeot,Jungle,Base,First,WOTC,1999-06-16,1999,Kagemaru Himeno,Pokémon,Holo Rare,Colorless,Colorless,80.0,,8/64
base2-9,Pinsir,Jungle,Base,First,WOTC,1999-06-16,1999,Kagemaru Himeno,Pokémon,Holo Rare,Grass,Grass,60.0,1.0,9/64
base2-10,Scyther,Jungle,Base,First,WOTC,1999-06-16,1999,Ken Sugimori,Pokémon,Holo Rare,Grass,Grass,70.0,,10/64
base2-11,Snorlax,Jungle,Base,First,WOTC,1999-06-16,1999,Ken Sugimori,Pokémon,Holo Rare,Colorless,Colorless,90.0,4.0,11/64
base2-12,Vaporeon,Jungle,Base,First,WOTC,1999-06-16,1999,Kagemaru Himeno,Pokémon,Holo Rare,Water,Water,80.0,1.0,12/64
base2-13,Venomoth,Jungle,Base,First,WOTC,1999-06-16,1999,Ken Sugimori,Pokémon,Holo Rare,Grass,Grass,70.0,,13/64
base2-14,Victreebel,Jungle,Base,First,WOTC,1999-06-16,1999,Ken Sugimori,Pokémon,Holo Rare,Grass,Grass,80.0,2.0,14/64
base2-15,Vileplume,Jungle,Base,First,WOTC,1999-06-16,1999,Keiji Kinebuchi,Pokémon,Holo Rare,Grass,Grass,80.0,2.0,15/64
base2-16,Wigglytuff,Jungle,Base,First,WOTC,1999-06-16,1999,Mitsuhiro Arita,Pokémon,Holo Rare,Colorless,Colorless,80.0,2.0,16/64
base2-17,Clefable,Jungle,Base,First,WOTC,1999-06-16,1999,Mitsuhiro Arita,Pokémon,Rare,Colorless,Colorless,70.0,2.0,17/64
base2-18,Electrode,Jungle,Base,First,WOTC,1999-06-16,1999,Mitsuhiro Arita,Pokémon,Rare,Lightning,Lightning,90.0,1.0,18/64
base2-19,Flareon,Jungle,Base,First,WOTC,1999-06-16,1999,Kagemaru Himeno,Pokémon,Rare,Fire,Fire,70.0,1.0,19/64
base2-20,Jolteon,Jungle,Base,First,WOTC,1999-06-16,1999,Kagemaru Himeno,Pokémon,Rare,Lightning,Lightning,70.0,1.0,20/64
base2-21,Kangaskhan,Jungle,Base,First,WOTC,1999-06-16,1999,Mitsuhiro Arita,Pokémon,Rare,Colorless,Colorless,90.0,3.0,21/64
base2-22,Mr. Mime,Jungle,Base,First,WOTC,1999-06-16,1999,Ken Sugimori,Pokémon,Rare,Psychic,Psychic,40.0,1.0,22/64
base2-23,Nidoqueen,Jungle,Base,First,WOTC,1999-06-16,1999,Ken Sugimori,Pokémon,Rare,Grass,Grass,90.0,3.0,23/64
base2-24,Pidgeot,Jungle,Base,First,WOTC,1999-06-16,1999,Kagemaru Himeno,Pokémon,Rare,Colorless,Colorless,80.0,,24/64
base2-25,Pinsir,Jungle,Base,First,WOTC,1999-06-16,1999,Kagemaru Himeno,Pokémon,Rare,Grass,Grass,60.0,1.0,25/64
base2-26,Scyther,Jungle,Base,First,WOTC,1999-06-16,1999,Ken Sugimori,Pokémon,Rare,Grass,Grass,70.0,,26/64
base2-27,Snorlax,Jungle,Base,First,WOTC,1999-06-16,1999,Ken Sugimori,Pokémon,Rare,Colorless,Colorless,90.0,4.0,27/64
base2-28,Vaporeon,Jungle,Base,First,WOTC,1999-06-16,1999,Kagemaru Himeno,Pokémon,Rare,Water,Water,80.0,1.0,28/64
base2-29,Venomoth,Jungle,Base,First,WOTC,1999-06-16,1999,Ken Sugimori,Pokémon,Rare,Grass,Grass,70.0,,29/64
base2-30,Victreebel,Jungle,Base,First,WOTC,1999-06-16,1999,Ken Sugimori,Pokémon,Rare,Grass,Grass,80.0,2.0,30/64
base2-31,Vileplume,Jungle,Base,First,WOTC,1999-06-16,1999,Keiji Kinebuchi,Pokémon,Rare,Grass,Grass,80.0,2.0,31/64
base2-32,Wigglytuff,Jungle,Base,First,WOTC,1999-06-16,1999,Mitsuhiro Arita,Pokémon,Rare,Colorless,Colorless,80.0,2.0,32/64
base2-33,Butterfree,Jungle,Base,First,WOTC,1999-06-16,1999,Kagemaru Himeno,Pokémon,Uncommon,Grass,Grass,70.0,,33/64
base2-34,Dodrio,Jungle,Base,First,WOTC,1999-06-16,1999,Mitsuhiro Arita,Pokémon,Uncommon,Colorless,Colorless,70.0,,34/64
base2-35,Exeggutor,Jungle,Base,First,WOTC,1999-06-16,1999,Kagemaru Himeno,Pokémon,Uncommon,Grass,Grass,80.0,3.0,35/64
base2-36,Fearow,Jungle,Base,First,WOTC,1999-06-16,1999,Mitsuhiro Arita,Pokémon,Uncommon,Colorless,Colorless,70.0,,36/64
base2-37,Gloom,Jungle,Base,First,WOTC,1999-06-16,1999,Keiji Kinebuchi,Pokémon,Uncommon,Grass,Grass,60.0,1.0,37/64
base2-38,Lickitung,Jungle,Base,First,WOTC,1999-06-16,1999,Mitsuhiro Arita,Pokémon,Uncommon,Colorless,Colorless,90.0,3.0,38/64
base2-39,Marowak,Jungle,Base,First,WOTC,1999-06-16,1999,Mitsuhiro Arita,Pokémon,Uncommon,Fighting,Fighting,60.0,1.0,39/64
base2-40,Nidorina,Jungle,Base,First,WOTC,1999-06-16,1999,Ken Sugimori,Pokémon,Uncommon,Grass,Grass,70.0,1.0,40/64
base2-41,Parasect,Jungle,Base,First,WOTC,1999-06-16,1999,Ken Sugimori,Pokémon,Uncommon,Grass,Grass,60.0,1.0,41/64
base2-42,Persian,Jungle,Base,First,WOTC,1999-06-16,1999,Kagemaru Himeno,Pokémon,Uncommon,Colorless,Colorless,70.0,,42/64
base2-43,Primeape,Jungle,Base,First,WOTC,1999-06-16,1999,Kagemaru Himeno,Pokémon,Uncommon,Fighting,Fighting,70.0,1.0,43/64
base2-44,Rapidash,Jungle,Base,First,WOTC,1999-06-16,1999,Mitsuhiro Arita,Pokémon,Uncommon,Fire,Fire,70.0,,44/64
base2-45,Rhydon,Jungle,Base,First,WOTC,1999-06-16,1999,Kagemaru Himeno,Pokémon,Uncommon,Fighting,Fighting,100.0,3.0,45/64
base2-46,Seaking,Jungle,Base,First,WOTC,1999-06-16,1999,Kagemaru Himeno,Pokémon,Uncommon,Water,Water,70.0,1.0,46/64
base2-47,Tauros,Jungle,Base,First,WOTC,1999-06-16,1999,Kagemaru Himeno,Pokémon,Uncommon,Colorless,Colorless,60.0,2.0,47/64
base2-48,Weepinbell,Jungle,Base,First,WOTC,1999-06-16,1999,Kagemaru Himeno,Pokémon,Uncommon,Grass,Grass,70.0,1.0,48/64
base2-49,Bellsprout,Jungle,Base,First,WOTC,1999-06-16,1999,Kagemaru Himeno,Pokémon,Common,Grass,Grass,40.0,1.0,49/64
base2-50,Cubone,Jungle,Base,First,WOTC,1999-06-16,1999,Mitsuhiro Arita,Pokémon,Common,Fighting,Fighting,40.0,1.0,50/64
base2-51,Eevee,Jungle,Base,First,WOTC,1999-06-16,1999,Kagemaru Himeno,Pokémon,Common,Colorless,Colorless,50.0,1.0,51/64
base2-52,Exeggcute,Jungle,Base,First,WOTC,1999-06-16,1999,Mitsuhiro Arita,Pokémon,Common,Grass,Grass,50.0,1.0,52/64
base2-53,Goldeen,Jungle,Base,First,WOTC,1999-06-16,1999,Kagemaru Himeno,Pokémon,Common,Water,Water,40.0,,53/64
base2-54,Jigglypuff,Jungle,Base,First,WOTC,1999-06-16,1999,Kagemaru Himeno,Pokémon,Common,Colorless,Colorless,60.0,1.0,54/64
base2-55,Mankey,Jungle,Base,First,WOTC,1999-06-16,1999,Kagemaru Himeno,Pokémon,Common,Fighting,Fighting,30.0,,55/64
base2-56,Meowth,Jungle,Base,First,WOTC,1999-06-16,1999,Mitsuhiro Arita,Pokémon,Common,Colorless,Colorless,50.0,1.0,56/64
base2-57,Nidoran ♀,Jungle,Base,First,WOTC,1999-06-16,1999,Ken Sugimori,Pokémon,Common,Grass,Grass,60.0,1.0,57/64
base2-58,Oddish,Jungle,Base,First,WOTC,1999-06-16,1999,Keiji Kinebuchi,Pokémon,Common,Grass,Grass,50.0,1.0,58/64
base2-59,Paras,Jungle,Base,First,WOTC,1999-06-16,1999,Ken Sugimori,Pokémon,Common,Grass,Grass,40.0,1.0,59/64
base2-60,Pikachu,Jungle,Base,First,WOTC,1999-06-16,1999,Ken Sugimori,Pokémon,Common,Lightning,Lightning,50.0,1.0,60/64
base2-61,Rhyhorn,Jungle,Base,First,WOTC,1999-06-16,1999,Mitsuhiro Arita,Pokémon,Common,Fighting,Fighting,70.0,3.0,61/64
base2-62,Spearow,Jungle,Base,First,WOTC,1999-06-16,1999,Mitsuhiro Arita,Pokémon,Common,Colorless,Colorless,50.0,,62/64
base2-63,Venonat,Jungle,Base,First,WOTC,1999-06-16,1999,Mitsuhiro Arita,Pokémon,Common,Grass,Grass,40.0,1.0,63/64
base2-64,Poké Ball,Jungle,Base,First,WOTC,1999-06-16,1999,Keiji Kinebuchi,Trainer,Common,,,,,64/64
basep-1,Pikachu,Wizards Black Star Promos,Base,First,WOTC,1999-07-01,1999,Keiji Kinebuchi,Pokémon,Promo,Lightning,Lightning,60.0,1.0,1/53
basep-2,Electabuzz,Wizards Black Star Promos,Base,First,WOTC,1999-07-01,1999,Ken Sugimori,Pokémon,Promo,Lightning,Lightning,60.0,2.0,2/53
basep-3,Mewtwo,Wizards Black Star Promos,Base,First,WOTC,1999-07-01,1999,Ken Sugimori,Pokémon,Promo,Psychic,Psychic,70.0,2.0,3/53
basep-4,Pikachu,Wizards Black Star Promos,Base,First,WOTC,1999-07-01,1999,Ken Sugimori,Pokémon,Promo,Lightning,Lightning,50.0,1.0,4/53
basep-5,Dragonite,Wizards Black Star Promos,Base,First,WOTC,1999-07-01,1999,Toshinao Aoki,Pokémon,Promo,Colorless,Colorless,90.0,2.0,5/53
basep-6,Arcanine,Wizards Black Star Promos,Base,First,WOTC,1999-07-01,1999,Ken Sugimori,Pokémon,Promo,Fire,Fire,70.0,1.0,6/53
basep-7,Jigglypuff,Wizards Black Star Promos,Base,First,WOTC,1999-07-01,1999,Keiji Kinebuchi,Pokémon,Promo,Colorless,Colorless,50.0,1.0,7/53
basep-8,Mew,Wizards Black Star Promos,Base,First,WOTC,1999-07-01,1999,Ken Sugimori,Pokémon,Promo,Psychic,Psychic,50.0,1.0,8/53
basep-9,Mew,Wizards Black Star Promos,Base,First,WOTC,1999-07-01,1999,Ken Sugimori,Pokémon,Promo,Psychic,Psychic,50.0,1.0,9/53
basep-10,Meowth,Wizards Black Star Promos,Base,First,WOTC,1999-07-01,1999,Kagemaru Himeno,Pokémon,Promo,Colorless,Colorless,50.0,1.0,10/53
basep-11,Eevee,Wizards Black Star Promos,Base,First,WOTC,1999-07-01,1999,Kagemaru Himeno,Pokémon,Promo,Colorless,Colorless,30.0,,11/53
basep-12,Mewtwo,Wizards Black Star Promos,Base,First,WOTC,1999-07-01,1999,Christopher Rush,Pokémon,Promo,Psychic,Psychic,60.0,2.0,12/53
basep-13,Venusaur,Wizards Black Star Promos,Base,First,WOTC,1999-07-01,1999,Ken Sugimori,Pokémon,Promo,Grass,Grass,100.0,2.0,13/53
basep-14,Mewtwo,Wizards Black Star Promos,Base,First,WOTC,1999-07-01,1999,Benimaru Itoh,Pokémon,Promo,Psychic,Psychic,70.0,2.0,14/53
basep-15,Cool Porygon,Wizards Black Star Promos,Base,First,WOTC,1999-07-01,1999,Hiromichi Sugiyama,Pokémon,Promo,Colorless,Colorless,50.0,1.0,15/53
basep-16,Computer Error,Wizards Black Star Promos,Base,First,WOTC,1999-07-01,1999,Sumiyoshi Kizuki,Trainer,Promo,,,,,16/53
basep-17,Dark Persian,Wizards Black Star Promos,Base,First,WOTC,1999-07-01,1999,Ken Sugimori,Pokémon,Promo,Colorless,Colorless,60.0,,17/53
basep-18,Team Rocket's Meowth,Wizards Black Star Promos,Base,First,WOTC,1999-07-01,1999,Kunihiko Yuyama,Pokémon,Promo,Colorless,Colorless,40.0,1.0,18/53
